OID_,value
1,3.369788789573839
2,6.331189184449616
3,11.835253553355459
4,5.939199604970566
5,3.657369447348459
6,5.239305739017095
7,2.574940539074733
8,5.075662336312240
9,7.141230437685459
10,10.937121666529602
11,13.085239250212908
12,11.306654864922171
13,16.093464013408205
14,10.378945203498002
15,9.729461796143479
16,8.300322050119153
17,10.861037204973403
18,11.037852320600967
19,7.498664769179683
20,9.340636344626544
21,5.874898920164390
22,6.872152235578090
23,9.204549216665320
24,9.968574069002097
25,9.077362987034798
26,9.694039530149894
27,15.804562154061653
28,20.446593255242881
29,12.697961159050472
30,7.378443576833781
31,2.526415664483521
32,1.843760185563951
33,1.497107696300029
34,1.918603187928538
35,2.215289870764537
36,1.863544513622079
37,2.351814446672078
38,1.946801224340561
39,1.079989145342980
40,1.383237636463224
41,2.134342447898234
42,1.804752356501601
43,1.741630616577287
44,1.339368331263585
45,0.606022829302460
46,0.914539512023432
47,1.615028880245517
48,1.603788530174985
49,1.867979332804680
50,0.627737837043242
51,2.771340395939393
52,8.267392998232564
53,13.059719629585743
54,8.649297872339096
55,1.753356744633814
56,8.725713933818051
57,14.334781078731314
58,14.514267218025296
59,2.766836290925766
60,0.822421029128343
61,1.330679374434540
62,2.003947148332372
63,2.809271702762035
64,2.389522605113383
65,2.592833764851093
66,0.919085336390280
67,1.925346753529191
68,3.045010464804363
69,3.796982125680453
70,7.559049252201522
71,15.383767683757462
72,17.280485475107152
73,15.216828430181046
74,13.769601123232851
75,13.306154909461519
76,14.864337347666989
77,15.549104714300494
78,1.442810215384646
79,0.970270986881052
80,1.644768509926506
81,1.660066599902861
82,1.912207780241529
83,1.942213106973213
84,0.771730421987526
85,2.016821389442637
86,7.937955478046206
87,17.419187523534195
88,2.385861686143259
89,1.615228512557223
90,6.617797902292187
91,16.376477842383526
92,3.121980799245647
93,1.039309201871647
94,1.334685797186787
95,1.719272854752490
96,1.373117134194163
97,1.013590000631452
98,1.251688153948635
99,1.093173670945415
100,15.314987605382854
101,0.592694552678950
102,0.813482632822877
103,2.941668528373834
104,13.767382220858156
105,11.197541137055131
106,7.513410594842838
107,2.131087610135129
108,3.725092152823213
109,4.290783068506773
110,3.764278075712568
111,5.277718762316096
112,13.385899801155288
113,15.096492307808461
114,8.263084588991321
115,13.711758211409757
116,13.673185374806909
117,14.662374852850359
118,11.007425881587098
119,11.533732735058845
120,6.915139123230240
121,6.297198105229637
122,10.008926101973932
123,11.058833552891826
124,10.643412438230952
125,8.538013769204126
126,10.499326573936177
127,14.024444583378036
128,14.547845360110786
129,17.257059414081507
130,10.341274791110346
131,5.164640873336742
132,3.138714719795748
133,5.167580211593101
134,4.035105842083470
135,3.523040938542377
136,2.648735485274899
137,3.189863271134741
138,4.420163168214189
